trajectory_id,split
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_experts/erdos-renyi/wR_L/false_0/2026-01-14_17-43-30__0,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_experts/erdos-renyi/wR_L/false_0/2026-01-14_17-43-30__1,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_experts/erdos-renyi/wR_L/false_0/2026-01-14_17-43-30__10,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_experts/erdos-renyi/wR_L/false_0/2026-01-14_17-43-30__11,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_experts/erdos-renyi/wR_L/false_0/2026-01-14_17-43-30__12,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_experts/erdos-renyi/wR_L/false_0/2026-01-14_17-43-30__13,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_experts/erdos-renyi/wR_L/false_0/2026-01-14_17-43-30__14,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_experts/erdos-renyi/wR_L/false_0/2026-01-14_17-43-30__15,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_experts/erdos-renyi/wR_L/false_0/2026-01-14_17-43-30__16,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_experts/erdos-renyi/wR_L/false_0/2026-01-14_17-43-30__17,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_experts/erdos-renyi/wR_L/false_0/2026-01-14_17-43-30__18,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_experts/erdos-renyi/wR_L/false_0/2026-01-14_17-43-30__19,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_experts/erdos-renyi/wR_L/false_0/2026-01-14_17-43-30__2,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_experts/erdos-renyi/wR_L/false_0/2026-01-14_17-43-30__20,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_experts/erdos-renyi/wR_L/false_0/2026-01-14_17-43-30__21,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_experts/erdos-renyi/wR_L/false_0/2026-01-14_17-43-30__22,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_experts/erdos-renyi/wR_L/false_0/2026-01-14_17-43-30__23,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_experts/erdos-renyi/wR_L/false_0/2026-01-14_17-43-30__24,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_experts/erdos-renyi/wR_L/false_0/2026-01-14_17-43-30__25,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_experts/erdos-renyi/wR_L/false_0/2026-01-14_17-43-30__26,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_experts/erdos-renyi/wR_L/false_0/2026-01-14_17-43-30__27,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_experts/erdos-renyi/wR_L/false_0/2026-01-14_17-43-30__28,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_experts/erdos-renyi/wR_L/false_0/2026-01-14_17-43-30__29,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_experts/erdos-renyi/wR_L/false_0/2026-01-14_17-43-30__3,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_experts/erdos-renyi/wR_L/false_0/2026-01-14_17-43-30__30,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_experts/erdos-renyi/wR_L/false_0/2026-01-14_17-43-30__31,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_experts/erdos-renyi/wR_L/false_0/2026-01-14_17-43-30__32,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_experts/erdos-renyi/wR_L/false_0/2026-01-14_17-43-30__33,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_experts/erdos-renyi/wR_L/false_0/2026-01-14_17-43-30__34,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_experts/erdos-renyi/wR_L/false_0/2026-01-14_17-43-30__35,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_experts/erdos-renyi/wR_L/false_0/2026-01-14_17-43-30__36,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_experts/erdos-renyi/wR_L/false_0/2026-01-14_17-43-30__37,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_experts/erdos-renyi/wR_L/false_0/2026-01-14_17-43-30__38,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_experts/erdos-renyi/wR_L/false_0/2026-01-14_17-43-30__39,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_experts/erdos-renyi/wR_L/false_0/2026-01-14_17-43-30__4,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_experts/erdos-renyi/wR_L/false_0/2026-01-14_17-43-30__40,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_experts/erdos-renyi/wR_L/false_0/2026-01-14_17-43-30__41,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_experts/erdos-renyi/wR_L/false_0/2026-01-14_17-43-30__42,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_experts/erdos-renyi/wR_L/false_0/2026-01-14_17-43-30__43,train
